77;1;[ 7, 11, 77 ];0.39;32;FastAbelian;{[ $.2, $.1^6 * $.2^10, $.1 ]}
144;101;[ 3, 4, 12 ];0.39;32;FastAbelian;{}
128;128;[ 2, 32, 32 ];0.38;51;FastAbelian;{}
92;4;[ 2, 46, 46 ];0.37;32;FastAbelian;{[ $.1, $.1 * $.2 * $.3^10, $.2 * $.3^13 ]}
92;4;[ 2, 23, 46 ];0.37;32;FastAbelian;{}
32;21;[ 4, 4, 4, 4 ];0.36;51;FastAbelian;{[ $.2 * $.4, $.1 * $.2 * $.4 * $.5, $.1 * $.2 * $.3 * $.5, $.2 * $.3 * $.4 ]}
128;42;[ 2, 16, 16 ];0.34;51;FastAbelian;{}
120;31;[ 2, 60, 60 ];0.32;32;FastAbelian;{[ $.2, $.1 * $.3 * $.4^3, $.1 * $.2 * $.3^2 * $.4^2 * $.5 ]}
81;5;[ 3, 27, 27 ];0.32;83;FastAbelian;{[ $.1^2 * $.3^2 * $.4^2, $.2, $.1 * $.2^2 ]}
32;21;[ 2, 4, 4, 4, 4 ];0.32;51;FastAbelian;{[ $.1 * $.4, $.1 * $.4 * $.5, $.2 * $.5, $.2 * $.3 * $.5, $.3 * $.4 ]:[ $.1 * $.4 * $.5, $.1 * $.3 * $.5, $.3 * $.5, $.2 * $.3, $.2 * $.3 ]:[ $.1 * $.3 * $.5, $.2 * $.5, $.4 * $.5, $.2 * $.3 * $.5, $.1 * $.5 ]:[ $.1 * $.4, $.1 * $.3 * $.4, $.4 * $.5, $.1 * $.2 * $.4 * $.5, $.1 * $.2 * $.3 * $.5 ]:[ $.1 * $.4 * $.5, $.1 * $.2 * $.3, $.1 * $.3 * $.4 * $.5, $.3 * $.4, $.1 * $.2 * $.3 * $.4 * $.5 ]:[ $.1, $.1 * $.3, $.2 * $.5, $.2 * $.4, $.3 ]}
112;22;[ 2, 56, 56 ];0.27;32;FastAbelian;{[ $.1 * $.3^2, $.2 * $.5, $.1 * $.2 * $.3^5 * $.4 ]}
